WARNING (theano.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
pybullet build time: Oct 11 2021 20:59:39
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=304.74479943741994, max_test_CL_un_norm=393.1228790881555
train epoch=24, loader_type='Both', approx_losses.avg=0.008995710570489366, constraint_losses.avg=0.005673641567553083
------------------------- test Main, avg_test_AL=0.007956587697689732, avg_test_CL=0.00795608873537276, max_test_CL=0.048523783683776855
------------------------- test un normalized Main, avg_test_AL_un_norm=724.5710863388096, avg_test_CL_un_norm=724.5203788242216, max_test_CL_un_norm=5073.699991386564
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0030676048110666065, max_test_CL=0.008995297364890575
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=347.14023313213033, max_test_CL_un_norm=1003.6284901425383
train epoch=25, loader_type='Both', approx_losses.avg=0.008103679363181194, constraint_losses.avg=0.005522276086360216
------------------------- test Main, avg_test_AL=0.018685312507286046, avg_test_CL=0.018687288920783127, max_test_CL=0.11049792170524597
------------------------- test un normalized Main, avg_test_AL_un_norm=1689.432990310722, avg_test_CL_un_norm=1689.6798070417578, max_test_CL_un_norm=13551.495140868501
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.00246222366814618, max_test_CL=0.008078690618276596
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=229.36168198734623, max_test_CL_un_norm=1043.3749485708909
train epoch=26, loader_type='Both', approx_losses.avg=0.008022795869285861, constraint_losses.avg=0.0054060998246694605
------------------------- test Main, avg_test_AL=0.005022666385491903, avg_test_CL=0.0050232511840901375, max_test_CL=0.03909875452518463
------------------------- test un normalized Main, avg_test_AL_un_norm=454.4206511659463, avg_test_CL_un_norm=454.49962513899857, max_test_CL_un_norm=2408.430706979281
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0004994977634147896, max_test_CL=0.0010565726552158594
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=33.696713340891726, max_test_CL_un_norm=93.94709735192023
train epoch=27, loader_type='Both', approx_losses.avg=0.0035976349361240864, constraint_losses.avg=0.0023275462192793687
------------------------- test Main, avg_test_AL=0.002240458268575215, avg_test_CL=0.002240619018964935, max_test_CL=0.010993807576596737
------------------------- test un normalized Main, avg_test_AL_un_norm=86.5582432521857, avg_test_CL_un_norm=86.57444770509127, max_test_CL_un_norm=315.76698627427754
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0005341979442843391, max_test_CL=0.0008627771167084575
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=29.854487271954532, max_test_CL_un_norm=42.65332770659937
train epoch=28, loader_type='Both', approx_losses.avg=0.0009743422081616396, constraint_losses.avg=0.0006502739628621687
------------------------- test Main, avg_test_AL=0.00028442371556351037, avg_test_CL=0.0002845083028563143, max_test_CL=0.0016188927693292499
------------------------- test un normalized Main, avg_test_AL_un_norm=25.357254933300446, avg_test_CL_un_norm=25.363332726528085, max_test_CL_un_norm=201.61940639005232
------------------------- test Omega, avg_test_AL=0, avg_test_CL=0.0003946319940344741, max_test_CL=0.0004837896558456123
------------------------- test un normalized Omega, avg_test_AL_un_norm=0, avg_test_CL_un_norm=48.45373410978761, max_test_CL_un_norm=57.11572850833023
train epoch=29, loader_type='Both', approx_losses.avg=0.0004750087272065381, constraint_losses.avg=0.00029935148808872325
